id;SoldToNumber;SoldToName;ShipToNumber;ShipToName;ShipToCity;ShipToCountry;Product;SellerNumber;SellerName;CMSCNumber;CMSCName
31;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;Pelargonic Acid;60191;Cedric Chua;101054;Valerie Quek
32;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;2-Ethylhexanoic Acid;60191;Cedric Chua;101054;Valerie Quek
33;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;Isononanoic Acid;60191;Cedric Chua;101054;Valerie Quek
34;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;Dibutylamine;60191;Cedric Chua;101054;Valerie Quek
35;1000267;Marchem Australasia Pty Ltd.;2000178;MARCHEM AUSTRALASIA PTY LTD;MELBOURNE;Australia;Butylamine;60191;Cedric Chua;101054;Valerie Quek
36;1000293;Oleon N.V.;2000242;Oleon N.V.;Oelegem;Belgium;1,3-Butylene Glycol;60051;Johan Rinckhout;100091;Nicole Krawczyk
37;1000293;Oleon N.V.;2000242;Oleon N.V.;Oelegem;Belgium;Heptanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
38;1000293;Oleon N.V.;2000242;Oleon N.V.;Oelegem;Belgium;Heptanoic Acid;60051;Johan Rinckhout;101059;Laura Couto Junqueira
39;1000293;Oleon N.V.;2000242;Oleon N.V.;Oelegem;Belgium;Pelargonic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
40;1000293;Oleon N.V.;2000242;Oleon N.V.;Oelegem;Belgium;Isononanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
41;1000293;Oleon N.V.;2000242;Oleon N.V.;Oelegem;Belgium;Valeric Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
42;1000293;Oleon N.V.;2136271;Mervielde NV Transport;Ertvelde;Belgium;1,3-Butylene Glycol;60051;Johan Rinckhout;100091;Nicole Krawczyk
43;1000293;Oleon N.V.;2136271;Mervielde NV Transport;Ertvelde;Belgium;Heptanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
44;1000293;Oleon N.V.;2136271;Mervielde NV Transport;Ertvelde;Belgium;Pelargonic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
45;1000293;Oleon N.V.;2136596;Oleon SAS;Venette;France;2-Ethyl Hexanol;60051;Johan Rinckhout;100091;Nicole Krawczyk
46;1000293;Oleon N.V.;2136596;Oleon SAS;Venette;France;Heptanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
47;1000294;Huntsman Advanced Materials;500018;ONE TIME CUSTOMER BELGIUM;#;Belgium;Oxsoft DOA;60025;Bodo Ott;101089;Silke Gertz
48;1000294;Huntsman Advanced Materials;2001748;HAM (Europe) BVBA Bergkamen;Bergkamen;Germany;TCD Diamine;60025;Bodo Ott;101089;Silke Gertz
49;1000306;Caldic Belgium N.V.;2130255;Caldic Belgium N.V.;Hemiksem;Belgium;1,3-Butylene Glycol;60051;Johan Rinckhout;100091;Nicole Krawczyk
50;1000306;Caldic Belgium N.V.;2130255;Caldic Belgium N.V.;Hemiksem;Belgium;1,3-Butylene Glycol;60051;Johan Rinckhout;101059;Laura Couto Junqueira
51;1000306;Caldic Belgium N.V.;2130255;Caldic Belgium N.V.;Hemiksem;Belgium;N-Butanol;60051;Johan Rinckhout;100091;Nicole Krawczyk
52;1000306;Caldic Belgium N.V.;2130255;Caldic Belgium N.V.;Hemiksem;Belgium;N-Propanol;60051;Johan Rinckhout;100091;Nicole Krawczyk
53;1000306;Caldic Belgium N.V.;2130255;Caldic Belgium N.V.;Hemiksem;Belgium;N-Butyl Acetate;60051;Johan Rinckhout;100091;Nicole Krawczyk
54;1000306;Caldic Belgium N.V.;2130255;Caldic Belgium N.V.;Hemiksem;Belgium;2-Ethylhexanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
55;1000307;Umicore Specialty Chemicals;500018;ONE TIME CUSTOMER BELGIUM;#;Belgium;3G8;60051;Johan Rinckhout;100091;Nicole Krawczyk
56;1000307;Umicore Specialty Chemicals;2131713;Umicore Specialty Materials;Brugge;Belgium;N-Butanol;60051;Johan Rinckhout;100091;Nicole Krawczyk
57;1000307;Umicore Specialty Chemicals;2131713;Umicore Specialty Materials;Brugge;Belgium;2-Ethyl Hexanol;60051;Johan Rinckhout;100091;Nicole Krawczyk
58;1000307;Umicore Specialty Chemicals;2131713;Umicore Specialty Materials;Brugge;Belgium;Pelargonic Acid;60051;Johan Rinckhout;101059;Laura Couto Junqueira
59;1000307;Umicore Specialty Chemicals;2131713;Umicore Specialty Materials;Brugge;Belgium;2-Ethylhexanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
60;1000307;Umicore Specialty Chemicals;2131713;Umicore Specialty Materials;Brugge;Belgium;Isononanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
61;1000311;Arteco N.V./S.A.;2000240;Arteco N.V.;Schoten;Belgium;2-Ethylhexanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
62;1000311;Arteco N.V./S.A.;2000240;Arteco N.V.;Schoten;Belgium;Isononanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
63;1000311;Arteco N.V./S.A.;2137596;Cepsa Comercial Petroleo S.A.;Paterna (Valencia);Spain;2-Ethylhexanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
64;1000312;Afton Chemical SPRL;2074503;Afton Chemical Limited;Gent Sint Kruis-Winkel;Belgium;Nonanal;60005;Andrew Lawson;100091;Nicole Krawczyk
65;1000312;Afton Chemical SPRL;2130601;Afton Chemical Limited;Ecaussinnes-Lalaing;Belgium;I-Butanol;60005;Andrew Lawson;100091;Nicole Krawczyk
66;1000315;ExxonMobil Petroleum & Chemical;2000257;ExxonMobil Chemical Belgium;Meerhout;Belgium;Propionaldehyde;60050;Christian Kneist;100091;Nicole Krawczyk
67;1000324;Mosselman S.A.;2056206;Mosselman S.A.;Ghlin;Belgium;TMP;60051;Johan Rinckhout;100091;Nicole Krawczyk
68;1000324;Mosselman S.A.;2056206;Mosselman S.A.;Ghlin;Belgium;N-Butanol;60051;Johan Rinckhout;100091;Nicole Krawczyk
69;1000324;Mosselman S.A.;2056206;Mosselman S.A.;Ghlin;Belgium;2-Ethyl Hexanol;60051;Johan Rinckhout;100091;Nicole Krawczyk
70;1000339;NYCO-STPC;2131050;Société Tournaisienne de Produits;Froyennes (Tournai);Belgium;1,3-Butylene Glycol;60056;Vincent Larger;100091;Nicole Krawczyk
71;1000339;NYCO-STPC;2131050;Société Tournaisienne de Produits;Froyennes (Tournai);Belgium;2-Ethyl Hexanol;60056;Vincent Larger;100091;Nicole Krawczyk
72;1000339;NYCO-STPC;2131050;Société Tournaisienne de Produits;Froyennes (Tournai);Belgium;Heptanoic Acid;60056;Vincent Larger;100091;Nicole Krawczyk
73;1000339;NYCO-STPC;2131050;Société Tournaisienne de Produits;Froyennes (Tournai);Belgium;Pelargonic Acid;60056;Vincent Larger;100091;Nicole Krawczyk
74;1000339;NYCO-STPC;2131050;Société Tournaisienne de Produits;Froyennes (Tournai);Belgium;2-Ethylhexanoic Acid;60056;Vincent Larger;100091;Nicole Krawczyk
75;1000339;NYCO-STPC;2131050;Société Tournaisienne de Produits;Froyennes (Tournai);Belgium;Isononanoic Acid;60056;Vincent Larger;100091;Nicole Krawczyk
76;1000339;NYCO-STPC;2131050;Société Tournaisienne de Produits;Froyennes (Tournai);Belgium;Valeric Acid;60056;Vincent Larger;100091;Nicole Krawczyk
77;1000353;Brenntag N.V.;2000262;Brenntag N.V.;Mouscron;Belgium;Oxsoft Gpo;60051;Johan Rinckhout;100091;Nicole Krawczyk
78;1000353;Brenntag N.V.;2130992;Brenntag N.V.;Deerlijk;Belgium;N-Butanol;60051;Johan Rinckhout;100091;Nicole Krawczyk
79;1000353;Brenntag N.V.;2130992;Brenntag N.V.;Deerlijk;Belgium;N-Propanol;60051;Johan Rinckhout;100091;Nicole Krawczyk
80;1000353;Brenntag N.V.;2130992;Brenntag N.V.;Deerlijk;Belgium;N-Butyl Acetate;60051;Johan Rinckhout;100091;Nicole Krawczyk
81;1000353;Brenntag N.V.;2130992;Brenntag N.V.;Deerlijk;Belgium;I-Butyl Acetate;60051;Johan Rinckhout;100091;Nicole Krawczyk
82;1000353;Brenntag N.V.;2130992;Brenntag N.V.;Deerlijk;Belgium;Isononanoic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
83;1000353;Brenntag N.V.;2130992;Brenntag N.V.;Deerlijk;Belgium;Propionic Acid;60051;Johan Rinckhout;100091;Nicole Krawczyk
84;1000360;BASF Antwerpen N.V.;2133939;BASF Antwerpen N.V.;Kallo;Belgium;Isopropylamine;60080;Michael Harbich;100091;Nicole Krawczyk
85;1000417;Univar Brasil LTDA;2133198;Univar Brasil LTDA;Osasco - SP;Brazil;Isononanoic Acid;60066;Rodrigo Valente;100999;Jesica Analía Gómez
86;1000417;Univar Brasil LTDA;2133198;Univar Brasil LTDA;Osasco - SP;Brazil;Valeric Acid;60066;Rodrigo Valente;100999;Jesica Analía Gómez
87;1000417;Univar Brasil LTDA;2133198;Univar Brasil LTDA;Osasco - SP;Brazil;Butyric Acid;60066;Rodrigo Valente;100999;Jesica Analía Gómez
88;1000444;Neoquim Industrias Quimicas Ltda;2000376;Neoquim Industrias Quimicas Ltda;Itaquaquecetuba - SP - Brasil;Brazil;2-Ethylhexanoic Acid;60066;Rodrigo Valente;100999;Jesica Analía Gómez
89;1000444;Neoquim Industrias Quimicas Ltda;2000376;Neoquim Industrias Quimicas Ltda;Itaquaquecetuba - SP - Brasil;Brazil;Isononanoic Acid;60066;Rodrigo Valente;100999;Jesica Analía Gómez
90;1000460;Oxiteno Nordeste S.A.;500021;ONE TIME CUSTOMER BRASILIEN;#;Brazil;Pelargonic Acid;60066;Rodrigo Valente;101059;Laura Couto Junqueira
91;1000463;Reichhold do Brasil Ltda.;2000371;REICHHOLD DO BRASIL LTDA;SANTOS;Brazil;TMP;60066;Rodrigo Valente;101059;Laura Couto Junqueira
92;1000463;Reichhold do Brasil Ltda.;2074058;Reichhold do Brasil Ltda.;Mogi das Cruzes;Brazil;TMP;60066;Rodrigo Valente;100999;Jesica Analía Gómez
93;1000466;RENNER SAYERLACK S/A;2137235;RENNER SAYERLACK S/A - CAJ;Cajamar SP;Brazil;TMP;60066;Rodrigo Valente;100999;Jesica Analía Gómez
94;1000483;Adama Brasil S/A;2075845;Adama Brasil S/A;Londrina;Brazil;Isopropylamine;60066;Rodrigo Valente;100999;Jesica Analía Gómez
95;1000498;Weg Tintas Ltda;2133241;WEG Logística Ltda;Itajaí # SC;Brazil;TMP;60066;Rodrigo Valente;100999;Jesica Analía Gómez
96;1000498;Weg Tintas Ltda;2135651;Weg Tintas Ltda;Itapoa;Brazil;TMP;60066;Rodrigo Valente;101059;Laura Couto Junqueira
97;1000528;BRENNTAG CANADA INC.;2000451;Brenntag Canada Inc.;Winnipeg;Canada;N-Propanol;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
98;1000528;BRENNTAG CANADA INC.;2000451;Brenntag Canada Inc.;Winnipeg;Canada;N-Propyl Acetate;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
99;1000528;BRENNTAG CANADA INC.;2000452;BRENNTAG CANADA INC.;MONTREAL;Canada;1,3-Butylene Glycol;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
100;1000528;BRENNTAG CANADA INC.;2000452;BRENNTAG CANADA INC.;MONTREAL;Canada;N-Propanol;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
101;1000528;BRENNTAG CANADA INC.;2000452;BRENNTAG CANADA INC.;MONTREAL;Canada;N-Propyl Acetate;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
102;1000528;BRENNTAG CANADA INC.;2000454;BRENNTAG CANADA INC.;TORONTO;Canada;N-Butyl Acetate;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
103;1000536;Univar Canada Ltd.;500023;ONE TIME CUSTOMER CANADA;#;Canada;1,3-Butylene Glycol;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
104;1000536;Univar Canada Ltd.;2000453;Univar Canada Ltd.;Valleyfield;Canada;N-Propanol;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
105;1000536;Univar Canada Ltd.;2000453;Univar Canada Ltd.;Valleyfield;Canada;I-Butyl Acetate;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
106;1000536;Univar Canada Ltd.;2000462;Univar Canada Ltd.;Downsview;Canada;N-Propanol;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
107;1000536;Univar Canada Ltd.;2000462;Univar Canada Ltd.;Downsview;Canada;N-Butyl Acetate;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
108;1000536;Univar Canada Ltd.;2000479;Univar Canada Ltd.;Weston;Canada;1,3-Butylene Glycol;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
109;1000536;Univar Canada Ltd.;2000480;Univar Canada Ltd.;DORVAL;Canada;1,3-Butylene Glycol;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
110;1000536;Univar Canada Ltd.;2137401;Univar Canada Ltd.;Richmond;Canada;1,3-Butylene Glycol;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
111;1000536;Univar Canada Ltd.;2137401;Univar Canada Ltd.;Richmond;Canada;N-Propyl Acetate;60141;Jacqueline Threadgill;101059;Laura Couto Junqueira
112;1000563;Dow Europe GmbH;2131006;VOPAK Terminal;Antwerpen;Belgium;N-Butanol;60004;Rudolf Pohl;100979;Christian Biegierz
113;1000563;Dow Europe GmbH;2131006;VOPAK Terminal;Antwerpen;Belgium;N-Propanol;60004;Rudolf Pohl;100979;Christian Biegierz
114;1000563;Dow Europe GmbH;2132998;DOW Europe GmbH;Böhlen;Germany;N-Butyraldehyde;60025;Bodo Ott;100979;Christian Biegierz
115;1000563;Dow Europe GmbH;2132998;DOW Europe GmbH;Böhlen;Germany;N-Butanol;60025;Bodo Ott;100979;Christian Biegierz
116;1000563;Dow Europe GmbH;2133203;Dow Europe GmbH;Marl;Germany;N-Butanol;60025;Bodo Ott;100979;Christian Biegierz
117;1000563;Dow Europe GmbH;2135993;Dow Europe GmbH;Tarragona;Spain;2-Ethyl Hexanol;60051;Johan Rinckhout;100979;Christian Biegierz
118;1000563;Dow Europe GmbH;2136943;Dow Europe GmbH;NM Hoek;Netherlands;Propionaldehyde;60050;Christian Kneist;100979;Christian Biegierz
119;1000572;Brenntag Schweizerhall AG;500024;ONE TIME CUSTOMER SWITZERLAND;#;Switzerland;I-Butyraldehyde;60025;Bodo Ott;100964;Yvonne Vogelsang
120;1000572;Brenntag Schweizerhall AG;2130756;Brenntag Schweizerhall AG;Basel;Switzerland;TMP;60025;Bodo Ott;100964;Yvonne Vogelsang
121;1000572;Brenntag Schweizerhall AG;2130756;Brenntag Schweizerhall AG;Basel;Switzerland;1,3-Butylene Glycol;60025;Bodo Ott;100964;Yvonne Vogelsang
122;1000572;Brenntag Schweizerhall AG;2130756;Brenntag Schweizerhall AG;Basel;Switzerland;1,3-Butylene Glycol;60025;Bodo Ott;101059;Laura Couto Junqueira
123;1000572;Brenntag Schweizerhall AG;2130756;Brenntag Schweizerhall AG;Basel;Switzerland;I-Butyraldehyde;60025;Bodo Ott;100964;Yvonne Vogelsang
124;1000572;Brenntag Schweizerhall AG;2130756;Brenntag Schweizerhall AG;Basel;Switzerland;N-Butanol;60025;Bodo Ott;100964;Yvonne Vogelsang
125;1000572;Brenntag Schweizerhall AG;2130756;Brenntag Schweizerhall AG;Basel;Switzerland;I-Butanol;60025;Bodo Ott;100964;Yvonne Vogelsang
126;1000572;Brenntag Schweizerhall AG;2130756;Brenntag Schweizerhall AG;Basel;Switzerland;N-Propanol;60025;Bodo Ott;100964;Yvonne Vogelsang
127;1000572;Brenntag Schweizerhall AG;2130756;Brenntag Schweizerhall AG;Basel;Switzerland;2-Ethyl Hexanol;60025;Bodo Ott;100964;Yvonne Vogelsang
128;1000572;Brenntag Schweizerhall AG;2130756;Brenntag Schweizerhall AG;Basel;Switzerland;N-Butyl Acetate;60025;Bodo Ott;100964;Yvonne Vogelsang
129;1000572;Brenntag Schweizerhall AG;2130756;Brenntag Schweizerhall AG;Basel;Switzerland;I-Butyl Acetate;60025;Bodo Ott;100964;Yvonne Vogelsang
130;1000572;Brenntag Schweizerhall AG;2130756;Brenntag Schweizerhall AG;Basel;Switzerland;Isononanal;60025;Bodo Ott;100964;Yvonne Vogelsang
131;1000572;Brenntag Schweizerhall AG;2133756;Brenntag Schweizerhall SA;Avenches;Switzerland;I-Butyraldehyde;60025;Bodo Ott;100964;Yvonne Vogelsang
132;1000572;Brenntag Schweizerhall AG;2133756;Brenntag Schweizerhall SA;Avenches;Switzerland;Isononanal;60025;Bodo Ott;100964;Yvonne Vogelsang
133;1000572;Brenntag Schweizerhall AG;2137232;Firmenich SA;La Plaine;Switzerland;I-Butyraldehyde;60025;Bodo Ott;100964;Yvonne Vogelsang
134;1000574;Clariant Additives (Switzerland) AG;2130225;Clariant Additives (Switzerland) AG;Muttenz 1;Switzerland;Neopentyl Glycol;60025;Bodo Ott;100964;Yvonne Vogelsang
135;1000589;Givaudan Suisse SA;2130866;Givaudan Suisse SA;Vernier;Switzerland;I-Butyraldehyde;60056;Vincent Larger;100964;Yvonne Vogelsang
136;1000589;Givaudan Suisse SA;2130866;Givaudan Suisse SA;Vernier;Switzerland;Isononanal;60056;Vincent Larger;100964;Yvonne Vogelsang
137;1000589;Givaudan Suisse SA;2130866;Givaudan Suisse SA;Vernier;Switzerland;TCD Alcohol;60056;Vincent Larger;100964;Yvonne Vogelsang
138;1000589;Givaudan Suisse SA;2130866;Givaudan Suisse SA;Vernier;Switzerland;Propionaldehyde;60056;Vincent Larger;100964;Yvonne Vogelsang
139;1000589;Givaudan Suisse SA;2130866;Givaudan Suisse SA;Vernier;Switzerland;N/I Undecanal;60056;Vincent Larger;100964;Yvonne Vogelsang
140;1000589;Givaudan Suisse SA;2132642;Givaudan Schweiz AG;Duebendorf;Switzerland;Isobutyric Acid;60056;Vincent Larger;100964;Yvonne Vogelsang
141;1000595;Lonza AG;2130237;Lonza AG;Visp;Switzerland;N-Butanol;60025;Bodo Ott;100964;Yvonne Vogelsang
142;1000595;Lonza AG;2130237;Lonza AG;Visp;Switzerland;N-Butyl Acetate;60025;Bodo Ott;100964;Yvonne Vogelsang
143;1000595;Lonza AG;2130237;Lonza AG;Visp;Switzerland;Isobutyric Acid;60025;Bodo Ott;100964;Yvonne Vogelsang
144;1000613;Firmenich SA;2000530;Firmenich SA;La Plaine;Switzerland;N-Butyraldehyde;60191;Cedric Chua;100964;Yvonne Vogelsang
145;1000613;Firmenich SA;2000530;Firmenich SA;La Plaine;Switzerland;TCD Alcohol;60191;Cedric Chua;100964;Yvonne Vogelsang
146;1000613;Firmenich SA;2130484;Kunming Firmenich Aromatics Co Ltd;Huangpu New Port;China;Isovaleraldehyde;60191;Cedric Chua;100964;Yvonne Vogelsang
147;1000613;Firmenich SA;2130484;Kunming Firmenich Aromatics Co Ltd;Huangpu New Port;China;N/I Undecanal;60191;Cedric Chua;100909;Fiona Tan
148;1000614;Contimpex SA;2003782;Solventas Installations;Gebze;Turkey;N-Butyl Acetate;60025;Bodo Ott;101059;Laura Couto Junqueira
149;1000614;Contimpex SA;2130837;Solventas Teknik Depolama AS;Istanbul;Turkey;N-Butanol;60025;Bodo Ott;100964;Yvonne Vogelsang
150;1000614;Contimpex SA;2130837;Solventas Teknik Depolama AS;Istanbul;Turkey;I-Butanol;60025;Bodo Ott;100964;Yvonne Vogelsang
151;1000614;Contimpex SA;2130837;Solventas Teknik Depolama AS;Istanbul;Turkey;2-Ethyl Hexanol;60025;Bodo Ott;100964;Yvonne Vogelsang
152;1000614;Contimpex SA;2130837;Solventas Teknik Depolama AS;Istanbul;Turkey;N-Butyl Acetate;60025;Bodo Ott;100964;Yvonne Vogelsang
153;1000614;Contimpex SA;2130838;Soditas Solvent;Kabatas - Istanbul;Turkey;N-Butanol;60025;Bodo Ott;100964;Yvonne Vogelsang
154;1000614;Contimpex SA;2135650;Contimpex S.A.;Geneve;Switzerland;N-Propanol;60025;Bodo Ott;101059;Laura Couto Junqueira
155;1000614;Contimpex SA;2135650;Contimpex S.A.;Geneve;Switzerland;N-Butyl Acetate;60025;Bodo Ott;101059;Laura Couto Junqueira
156;1000614;Contimpex SA;2135941;Brenntag Kimya Tic Ltd Sti;Istanbul;Turkey;Isononanoic Acid;60025;Bodo Ott;100964;Yvonne Vogelsang
157;1000614;Contimpex SA;2136473;Ela Kimyevi Madd. San. Ve Tic. A.S.;Tuzla Istanbul;Turkey;Neopentyl Glycol;60025;Bodo Ott;100964;Yvonne Vogelsang
158;1000614;Contimpex SA;2137257;Ilerikim Tekstil Kimya ve;Istanbul;Turkey;N-Propanol;60025;Bodo Ott;101059;Laura Couto Junqueira
159;1000614;Contimpex SA;2137257;Ilerikim Tekstil Kimya ve;Istanbul;Turkey;N-Propyl Acetate;60025;Bodo Ott;101059;Laura Couto Junqueira
160;1000614;Contimpex SA;2137261;Mikro Teknik Kimyevi Mad.Lab;Kestel;Turkey;N-Propanol;60025;Bodo Ott;101059;Laura Couto Junqueira
161;1000614;Contimpex SA;2137277;Ertar Kimya Tarim Urunleri;Adana;Turkey;Isopropylamine;60025;Bodo Ott;100964;Yvonne Vogelsang
162;1000614;Contimpex SA;2137396;Siegwerk Baski Mürekkep. San. Ve Ti;Istanbul;Turkey;N-Propanol;60025;Bodo Ott;100964;Yvonne Vogelsang
163;1000614;Contimpex SA;2137667;Poleks Kimya Sanayi ve;Istanbul - Esenyurt;Turkey;TMP;60025;Bodo Ott;100964;Yvonne Vogelsang
164;1000614;Contimpex SA;2137716;Kimteks Poliuretan San Ve Tic A.S.;Istanbul;Turkey;TMP;60025;Bodo Ott;100964;Yvonne Vogelsang
165;1000614;Contimpex SA;2137732;KCC Boya San. ve Tic. Ltd. Sti.;Gebze Organize Sanayi Bolgesi, Koca;Turkey;N-Propanol;60025;Bodo Ott;100964;Yvonne Vogelsang
